"rt","responses","trial_index","time_elapsed","ID","lang","leftIsUp","screenX","screenY","innerX","innerY","version","raw_FPS","estimated_FPS","success","key","dir","modality","actual_cross_pt","actual_graph_pt","untrust_graph_pt","nbOfFrames","correct","current_streak","longest_streak","current_bonus","total_score","steepness","number_points","standard_deviation","loop_number","button_pressed","finished","1Q0","1Q1","1Q2","1Q3","1Q4","T_test","Pearson_R","OLS_slope"
2337.70000000001,"",53,483957,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.305999999982,99.9499999999534,95.2999999999302,6,TRUE,1,6,0,69,0.1875,66,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",8.03462151271646,0.708631894826377,0.179648752593769
3003.20000000007,"",54,488998,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",998.953999999969,99.3110000000452,94.8000000000466,6,TRUE,2,6,0,69,-0.1875,66,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-1.87264776841756,-0.227919931345065,-0.108052391409792
5058.39999999991,"",55,496097,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",998.32799999998,100.005000000005,95.699999999837,6,FALSE,0,6,0,69,0.0625,38,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",1.4296922816843,0.231792495858016,0.138946082152046
3028.39999999991,"",56,501158,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",999.896999999997,98.4160000000265,95.0000000000582,6,FALSE,0,6,0,69,0.1875,18,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",3.98015381942169,0.705346066318713,0.182998389276726
3159.59999999998,"",57,506348,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",997.981000000029,99.9689999999828,96.8000000000466,6,TRUE,1,6,0,69,-0.125,18,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-2.42215884404002,-0.517975804055306,-0.227277967382611
2037.39999999991,"",58,510416,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",998.73199999996,99.8470000000088,96,6,TRUE,2,6,0,69,-0.1875,6,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-5.49322773832799,-0.939658056824098,-0.453311237276312
1702.19999999995,"",59,514160,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",998.00900000002,100.320000000007,97.2999999998719,6,FALSE,0,6,0,69,0.1875,6,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",6.08565226452148,0.950011908066132,0.194418231433251
3001.10000000015,"",60,519203,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.607999999949,99.8969999999972,96.8000000000466,6,TRUE,1,6,0,69,0.125,6,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",1.19619864031677,0.513295850863141,0.252754227148178
3221.19999999995,"",61,524468,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",999.229999999981,99.0749999999534,96,6,TRUE,2,6,0,69,0.1875,38,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",3.2886504904379,0.480644720608439,0.16158984077978
2987.00000000006,"",62,529491,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",998.434999999998,99.8709999999846,96.7000000000698,6,TRUE,3,6,0,69,0.125,6,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-1.26266265793576,-0.533843305976268,-0.145149327946197
